id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
596697,Sorority Babes in the Slimeball Bowl-O-Rama 2,5.6,5,Released,2022-12-02,0,61,False,/2AIpwuprYPPzWfVDDEJ9BZqOC9E.jpg,500000,https://www.fullmoonfeatures.com/sorority-babes-in-the-slimeball-bowl-o-rama-2,tt12472174,en,Sorority Babes in the Slimeball Bowl-O-Rama 2,"The babes are back! And so is everyone’s favorite wish-grantin’, murder-lovin’ mischievous gremlin, the Imp! The Tri-Delta sorority house has seen better days, but the girls are intent on gaining some new recruits! With housemother Mama Spider as their guide, the sexy hi-jinks and hilarity begin. Meanwhile though, the Bowl-O-Rama bowing alley has had a break-in…and a break out! With the escape of the magical and murderous Imp, it’s a no-holes-barred fight for survival, with only one mysterious girl holding the answers to the riddle of the Imp’s wish!",2.889,/yV2vXb8ha3kIO3oAwc296OjDGpG.jpg,The imp is back!,"Horror, Comedy","Full Moon Features, Candy Bar Productions",United States of America,English
1053065,The Difficulties Of Being Drunk Alone,0.0,0,Released,2022-12-02,0,0,False,/bXiyPmTI2nsIkTWjmcy9KHCRK8n.jpg,0,https://www.atariapictures.com/featured/the-difficulties-of-being-drunk-alone,tt17607206,en,The Difficulties Of Being Drunk Alone,A young man finds himself alone in his hotel room with a full bottle of vodka when his repressed memories begin to resurface and take control.,0.6,/10XvNRXQnB1ZbsGOZjySIGFjxNc.jpg,A man unravels alone in a motel room.,"Horror, Drama",Ataria Pictures,United States of America,English
1056446,Cheaders Creek,8.0,1,Released,2022-12-02,0,4,False,/nlB1l9xhfifBXijtNBwcn1LtzYx.jpg,25,https://www.youtube.com/watch?v=_nndOdsFzc8&t=2s,,en,Cheaders Creek,"When Peloso, a mob lieutenant, is accused of stealing 20,000 from Leito, a mob boss, he is sent into the woods with Leito's top goon, Vinnie ""The Scissor"" as punishment.",0.6,/tGa3RLjSLYFrdMkWhQgpnp70p5e.jpg,There are no winners in Cheaders Creek,"Crime, Horror",,United States of America,English
1210036,Cotty Lollies,0.0,0,Released,2022-12-01,0,20,False,/t4GVhEuFCqEFNm68oFPnWgbbGL9.jpg,0,https://www.youtube.com/@cottylollies,,en,Cotty Lollies,A review channel covers the mystery of a beloved children’s lollipop factory that shut down years prior after a devastating malfunction,0.0,/cIc1lBBggYniAiDhJCOHkgBaQk3.jpg,Happy on a stick!,"Horror, Crime, Drama",,United States of America,English
1056007,Detention Kids,0.0,0,Released,2022-12-01,20000,5,False,/fWKDiLySLZcl9MfBT9nZTC8tMXb.jpg,20000,,tt23901570,en,Detention Kids,Trouble comes the way of three teens whilst they serve out their time in detention.,0.6,/itILFjb06YKveJELjq9DvL5Yirr.jpg,Dark things happen to trouble makers,"Horror, Thriller",NSD Productions,United States of America,English
1049450,Kasi,0.0,0,Released,2022-12-01,0,0,False,/g522Koc7OENgo18SgjEruKiQPpr.jpg,50000,,tt23456554,en,Kasi,"A perfect wife, mother, and business owner battles a deep dark obsession that pushes her over the edge in this deadly recipe for murder",1.239,/8H2m91SotucAGaKirRwiKxW79eo.jpg,A deadly addiction that's sweet as sin,"Thriller, Horror","Art Actualized Studios, Emergence",United States of America,English
1055108,Mold,0.0,0,Released,2022-12-01,0,85,False,,15000,,tt22815438,en,Mold,There is a mold that seems to be alive and it infects people creating elaborate monsters from them. This mold infects an entire apartment complex as the people in the complex try to escape.,1.153,/mCdSZYjfSkJHyJwyuPCWWI4wOiR.jpg,,Horror,MGI Films,United States of America,English
1080816,VHS Violence: Bootlegged,0.0,0,Released,2022-12-01,0,62,False,,0,,tt23215098,en,VHS Violence: Bootlegged,"In this found footage feast, four videos are discovered, each more violent than the last, as we bear witness to the depravity that unravels onscreen.",2.332,/jRwrEQMBk46ati05gMnmF7vIcpJ.jpg,,Horror,SCS Entertainment,United States of America,English
1055367,The Student,0.0,0,Released,2022-12-01,0,3,False,,80,,,en,The Student,"The Student, shows the daily life of well, a student overwhelmed from school. How much can a person be pushed? And can there be a spark of help?",0.6,/ndeMASTqYkeYNZyHJVCZHNomAC7.jpg,,"Drama, Horror",GhostsDontWalk,United States of America,English
1125609,The Washington County Disappearances,2.0,1,Released,2022-12-01,0,91,False,/gzaWKK115bPBFIO4HqiQ7WaKDTt.jpg,7000,,,en,The Washington County Disappearances,A recently laid-off plant worker uses an action camera to record his search for his missing fiancé one night during the 2020 pandemic after discovering that she may be held prisoner by a clever and terrifying serial killer.,0.6,/8c5LYOW0bVmGiNMeWJ7bbzMBapK.jpg,"A recently laid-off plant worker, Luke Edwards, uses an action camera to record his search for his missing fiancé one night in 2020 during the beginning of the Covid-19 pandemic.",Horror,paMarlon MEDIA,United States of America,English
1131907,The Grove,0.0,0,Released,2022-11-30,0,42,False,,0,,,en,The Grove,"'The Grove' follows a young man, Larry, as he looks into the mysterious death of his girlfriend, Sarah, at the infamous Grove Hotel.",0.6,/soDCVskB1ig6cbUOfbuO34tGNa2.jpg,,Horror,,United States of America,English
885938,Fang,0.0,0,Released,2022-11-29,0,97,False,,0,,tt11706558,en,Fang,"It's winter in Chicago and Billy Cochran (Dylan LaRay) can't stop alienating the people around him. His mother Gina (Lynn Lowry) is in and out of the hospital and her mind is breaking down, caught between her glory days as a Southern belle and her current state of decay. One night, Billy gets an unexpected visitor: a rat that springs out of his bathroom and bites him. At first, everything seems okay. Billy comes home, drowsy from the tetanus shot, and bonds with Gina's lovely new caregiver Myra (Jess Paul). Then the rat fur appears. It grows out of Billy's skin, then goes away like it was never there. The more Billy looks in the mirror and scratches, the more he's forced to face the unthinkable: he might be turning into a rat. Billy is plunged into a waking nightmare where he slowly discovers the truth about himself as he unleashes the ferocious depths of the human and rodent soul.",0.663,/Aw9Dttous89TUVBli6TzLGSIsR4.jpg,,"Drama, Horror",,United States of America,English
1054299,Noseman,10.0,1,Released,2022-11-26,0,8,False,/bbgCn2vGwon5BW8PRg7uVscaYnZ.jpg,0,https://youtu.be/chg1GnJoOKI,,en,Noseman,"Barry discovers he’s running late for a test, but continually encounters a mysterious figure dressed in black, known only as Noseman, who seeks to disturb Barry’s soul.",0.6,/bzzXiBZeYklLGJ8bqWY81Kt2X8e.jpg,Run.,Horror,Noseman Productions,United States of America,English
1043041,Nowhere To Escape,0.0,0,Released,2022-11-26,0,11,False,,0,,,en,无处可逃,"A girl who studies psychology begins to have symptoms of a mental disorder due to her overload of research work. She thinks all people around her are zombies, and her only goal is to find her boyfriend. When she is about to find him, a huge zombie appears...",0.6,/xIwgvmdTAbYs191uoku50M16A55.jpg,,Horror,,United States of America,English
1056502,Paranoia Tapes X: The Night Stalker Case Investigation,0.0,0,Released,2022-11-25,0,0,False,,0,,,en,Paranoia Tapes X: The Night Stalker Case Investigation,The fourth wall has been broken and the fun has just begun for Henry. It's time for HELL ON EARTH.,0.66,/hUW3vM1fejgpDCXGvTEbBdEFcZn.jpg,Fear Comes Full Circle,Horror,Carcass Studios,United States of America,English
1062936,She Burns in Hell: Chapter 2,7.0,1,Released,2022-11-25,0,12,False,,10000,,tt13667600,en,She Burns in Hell: Chapter 2,"Documentarian Edwin Terry takes viewers deeper into the stories and events centered around Carrie White's telekinetic wrath and the effects it had on the sleepy village of Chamberlain, Maine.",1.4,/jc1avKozVyoGHVmZbdVIho4NbS5.jpg,,Horror,concept media,United States of America,English
