titleType,primaryTitle,startYear,genres
tvEpisode,Hakaba kara noroi no te,1973,Horror
tvEpisode,Kumo no onna,1973,Horror
movie,Malatesta's Carnival of Blood,1973,Horror
movie,Count Dracula's Great Love,1973,Horror
tvMovie,The Devil's Daughter,1973,Horror
movie,The Mansion of Madness,1973,Horror
movie,Schoolgirls in Chains,1973,Horror
movie,The Oval Portrait,1973,Horror
tvMiniSeries,Et lite grøss?,1973,Horror
tvEpisode,Edderkoppen,1973,Horror
tvEpisode,Vertinnen,1973,Horror
tvEpisode,Skrittene,1973,Horror
movie,Valley of Blood,1973,Horror
movie,Cheondong,1973,Horror
movie,The Bloody Ring,1973,Horror
movie,Tian men zhen,1973,Horror
movie,Ambrose Dugal,1973,Horror
movie,Anak ng asuang,1973,Horror
movie,Krasue Sao,1973,Horror
tvMovie,"Shock-a-bye, Baby",1973,Horror
movie,Psyched by the 4D Witch (A Tale of Demonology),1973,Horror
tvMovie,Deadly Visitor,1973,Horror
movie,The Reincarnation of Isabel,1973,Horror
movie,Tanikalang dugo,1973,Horror
movie,The Haunted Girl,1973,Horror
movie,Opera Mortem,1973,Horror
movie,Si Manis Jembatan Ancol,1973,Horror
movie,Wohi Raat Wohi Awaaz,1973,Horror
tvEpisode,Miira no koi,1973,Horror
movie,A Virgin Among the Living Dead,1973,Horror
movie,Blood,1973,Horror
movie,Love Brides of the Blood Mummy,1973,Horror
movie,Hunchback of the Morgue,1973,Horror
movie,Alabama's Ghost,1973,Horror
movie,Return of the Evil Dead,1973,Horror
movie,The Legend of Blood Castle,1973,Horror
movie,Horror of the Wolf,1973,Horror
movie,The Sabbat of the Black Cat,1973,Horror
tvEpisode,Son of Dracula,1973,Horror
tvEpisode,Creature From The Black Lagoon,1973,Horror
tvEpisode,Nightmare Castle,1973,Horror
tvEpisode,Kronos,1973,Horror
tvEpisode,The Face Behind the Mask,1973,Horror
tvEpisode,The Diabolical Dr Z,1973,Horror
tvEpisode,Before I Hang,1973,Horror
tvEpisode,Island of Doomed Men,1973,Horror
tvEpisode,Gammera,1973,Horror
tvEpisode,Abbott & Costello Meet the Mummy,1973,Horror
tvEpisode,Godzilla's Revenge,1973,Horror
tvEpisode,The Invisible Man,1973,Horror
tvEpisode,The Black Cat,1973,Horror
tvEpisode,Bride of Frankenstein,1973,Horror
tvEpisode,Frankenstein Meets the Wolfman,1973,Horror
tvEpisode,Doctor X,1973,Horror
tvEpisode,Terror In The Haunted House,1973,Horror
tvEpisode,Revenge of the Creature,1973,Horror
tvEpisode,Abbott & Costello Meet the Invisible Man,1973,Horror
tvEpisode,Abbott & Costello Meet Dr. Jekyll & Mr. Hyde,1973,Horror
tvEpisode,Godzilla,1973,Horror
movie,The Wednesday Children,1973,Horror
tvEpisode,Shi o yokoku suru onna,1973,Horror
tvEpisode,Kamen no hakaba,1973,Horror
movie,Las flores del miedo,1973,Horror
movie,Horror Rises from the Tomb,1973,Horror
tvEpisode,The Mummy,1973,Horror
tvEpisode,The Wolfman,1973,Horror
tvEpisode,Abbott & Costello Meet Frankenstein,1973,Horror
tvEpisode,Beast of Hollow Mountain,1973,Horror
movie,Kung bakit dugo ang kulay ng gabi,1973,Horror
tvSeries,Horror Theater Unbalance,1973,Horror
tvEpisode,When Worlds Collide,1973,Horror
tvEpisode,The Mummy's Curse,1973,Horror
tvEpisode,The War of the Worlds,1973,Horror
tvEpisode,The Ghost of Frankenstein,1973,Horror
tvEpisode,Son of Frankenstein,1973,Horror
tvEpisode,Son of Frankenstein,1973,Horror
tvEpisode,War of the Gargantuas,1973,Horror
tvEpisode,Werewolf of London,1973,Horror
tvEpisode,The Crime of Dr Hallett,1973,Horror
tvEpisode,The Crimson Canary,1973,Horror
tvEpisode,This Island Earth,1973,Horror
tvEpisode,Captive Wild Woman,1973,Horror
tvEpisode,House of Horrors,1973,Horror
tvEpisode,The Mad Ghoul,1973,Horror
tvEpisode,Calling Dr Death,1973,Horror
tvEpisode,The Invisible Man Returns,1973,Horror
movie,Voodoo Heartbeat,1973,Horror
movie,The Hanging Woman,1973,Horror
movie,The Vampires Night Orgy,1973,Horror
movie,And Now the Screaming Starts!,1973,Horror
movie,Vengeance of the Zombies,1973,Horror
movie,The Dracula Saga,1973,Horror
movie,Crypt of the Living Dead,1973,Horror
movie,Horror High,1973,Horror
movie,The Witches Mountain,1973,Horror
tvEpisode,Kyûketsuki no zekkyô,1973,Horror
tvEpisode,Morgue no satsujinsha,1973,Horror
tvEpisode,Neko wa shitteita,1973,Horror
tvEpisode,Salaryman no kunshô,1973,Horror
tvEpisode,Yo ga aketara,1973,Horror
movie,Black Volga,1973,Horror
tvMovie,Roc ou la malédiction,1973,Horror
